,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_753012,BusBar_mvgd_1056_lvgd_97718_LV,0.03042,solar,PQ,1131085.0,solar_roof_mounted,lv,753012.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_753015,BranchTee_mvgd_1056_lvgd_97718_72,0.02927,solar,PQ,1131085.0,solar_roof_mounted,lv,753015.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_557797,BusBar_mvgd_1056_lvgd_97719_LV,0.012,solar,PQ,1131085.0,solar_roof_mounted,lv,557797.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_749960,BusBar_mvgd_1056_lvgd_97719_LV,0.00429,solar,PQ,1131085.0,solar_roof_mounted,lv,749960.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_750277,BranchTee_mvgd_1056_lvgd_97719_2,0.0663,solar,PQ,1131085.0,solar_roof_mounted,lv,750277.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_752162,BusBar_mvgd_1056_lvgd_97719_LV,0.01122,solar,PQ,1131085.0,solar_roof_mounted,lv,752162.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_752182,BusBar_mvgd_1056_lvgd_97719_LV,0.0198,solar,PQ,1131085.0,solar_roof_mounted,lv,752182.0,,,,,,
Generator_mvgd_1056_lvgd_97719_solar_roof_mounted_752457,BusBar_mvgd_1056_lvgd_97719_LV,0.00391,solar,PQ,1131085.0,solar_roof_mounted,lv,752457.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_750079,BranchTee_mvgd_1056_lvgd_97720_68,0.0161,solar,PQ,1131085.0,solar_roof_mounted,lv,750079.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_750204,BranchTee_mvgd_1056_lvgd_97720_30,0.0270249999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750204.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_750216,BranchTee_mvgd_1056_lvgd_97720_36,0.01776,solar,PQ,1131085.0,solar_roof_mounted,lv,750216.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_750294,BranchTee_mvgd_1056_lvgd_97720_4,0.045825,solar,PQ,1131085.0,solar_roof_mounted,lv,750294.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_752142,BranchTee_mvgd_1056_lvgd_97720_74,0.00385,solar,PQ,1131085.0,solar_roof_mounted,lv,752142.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_752154,BranchTee_mvgd_1056_lvgd_97720_50,0.0209,solar,PQ,1131085.0,solar_roof_mounted,lv,752154.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_752164,BranchTee_mvgd_1056_lvgd_97720_82,0.01512,solar,PQ,1131085.0,solar_roof_mounted,lv,752164.0,,,,,,
Generator_mvgd_1056_lvgd_97720_solar_roof_mounted_752165,BranchTee_mvgd_1056_lvgd_97720_20,0.01443,solar,PQ,1131085.0,solar_roof_mounted,lv,752165.0,,,,,,
