,bus,p_set,type,annual_consumption,sector,voltage_level,p,geom
Load_mvgd_1056_lvgd_97255_24,BranchTee_mvgd_1056_lvgd_97255_48,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_25,BranchTee_mvgd_1056_lvgd_97255_50,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_26,BranchTee_mvgd_1056_lvgd_97255_52,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_27,BranchTee_mvgd_1056_lvgd_97255_54,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_28,BranchTee_mvgd_1056_lvgd_97255_56,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_29,BranchTee_mvgd_1056_lvgd_97255_58,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_30,BranchTee_mvgd_1056_lvgd_97255_60,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_31,BranchTee_mvgd_1056_lvgd_97255_62,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_32,BranchTee_mvgd_1056_lvgd_97255_64,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_33,BranchTee_mvgd_1056_lvgd_97255_66,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_34,BranchTee_mvgd_1056_lvgd_97255_68,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_35,BranchTee_mvgd_1056_lvgd_97255_70,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_36,BranchTee_mvgd_1056_lvgd_97255_72,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_37,BranchTee_mvgd_1056_lvgd_97255_74,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_38,BranchTee_mvgd_1056_lvgd_97255_76,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_39,BranchTee_mvgd_1056_lvgd_97255_78,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97290_1,BranchTee_mvgd_1056_lvgd_97290_2,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_2,BranchTee_mvgd_1056_lvgd_97290_4,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_3,BranchTee_mvgd_1056_lvgd_97290_6,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_4,BranchTee_mvgd_1056_lvgd_97290_8,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_5,BranchTee_mvgd_1056_lvgd_97290_10,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_6,BranchTee_mvgd_1056_lvgd_97290_12,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_7,BranchTee_mvgd_1056_lvgd_97290_14,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_8,BranchTee_mvgd_1056_lvgd_97290_16,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_9,BranchTee_mvgd_1056_lvgd_97290_18,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_10,BranchTee_mvgd_1056_lvgd_97290_20,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_11,BranchTee_mvgd_1056_lvgd_97290_22,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_12,BranchTee_mvgd_1056_lvgd_97290_24,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_13,BranchTee_mvgd_1056_lvgd_97290_26,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_14,BranchTee_mvgd_1056_lvgd_97290_28,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_15,BranchTee_mvgd_1056_lvgd_97290_30,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_16,BranchTee_mvgd_1056_lvgd_97290_32,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_17,BranchTee_mvgd_1056_lvgd_97290_34,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_18,BranchTee_mvgd_1056_lvgd_97290_36,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_19,BranchTee_mvgd_1056_lvgd_97290_38,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_20,BranchTee_mvgd_1056_lvgd_97290_40,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_21,BranchTee_mvgd_1056_lvgd_97290_42,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_22,BranchTee_mvgd_1056_lvgd_97290_44,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_23,BranchTee_mvgd_1056_lvgd_97290_46,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
Load_mvgd_1056_lvgd_97290_24,BranchTee_mvgd_1056_lvgd_97290_48,0.001279367269218,conventional_load,5.98618411575,residential,lv,,
