,edisgo_id
1301,Charging_Point_LVGrid_102177_home_11
1306,Charging_Point_LVGrid_102178_home_12
1308,Charging_Point_LVGrid_102578_home_5
1311,Charging_Point_LVGrid_102176_home_4
1312,Charging_Point_LVGrid_102178_home_13
1319,Charging_Point_LVGrid_102176_home_5
1320,Charging_Point_LVGrid_102659_home_4
1321,Charging_Point_LVGrid_440892_home_2
1323,Charging_Point_LVGrid_102176_home_6
1324,Charging_Point_LVGrid_102773_home_2
1326,Charging_Point_LVGrid_102578_home_6
1331,Charging_Point_LVGrid_102178_home_14
1332,Charging_Point_LVGrid_102659_home_5
1333,Charging_Point_LVGrid_102176_home_7
1334,Charging_Point_LVGrid_102773_home_3
1337,Charging_Point_LVGrid_102177_home_12
1338,Charging_Point_LVGrid_102576_home_7
1344,Charging_Point_LVGrid_102578_home_7
1345,Charging_Point_LVGrid_440493_home_9
1348,Charging_Point_MVGrid_1056_hpc_1
1349,Charging_Point_LVGrid_97340_hpc_7
1350,Charging_Point_MVGrid_1056_hpc_2
1351,Charging_Point_MVGrid_1056_hpc_3
1353,Charging_Point_LVGrid_102248_hpc_8
1354,Charging_Point_MVGrid_1056_hpc_4
1356,Charging_Point_LVGrid_440542_hpc_2
1358,Charging_Point_LVGrid_97768_hpc_4
1360,Charging_Point_LVGrid_97976_hpc_4
1362,Charging_Point_LVGrid_109037_public_9
1363,Charging_Point_LVGrid_109033_public_1
1364,Charging_Point_LVGrid_109191_public_7
1365,Charging_Point_LVGrid_109035_public_12
1367,Charging_Point_LVGrid_109034_public_6
1368,Charging_Point_LVGrid_109035_public_13
1369,Charging_Point_LVGrid_109034_public_7
1370,Charging_Point_LVGrid_109033_public_2
1371,Charging_Point_LVGrid_109033_public_3
1373,Charging_Point_LVGrid_97723_public_8
1374,Charging_Point_LVGrid_97720_public_3
1375,Charging_Point_LVGrid_97722_public_15
1376,Charging_Point_LVGrid_97726_public_11
1377,Charging_Point_LVGrid_97720_public_4
1378,Charging_Point_LVGrid_97717_public_2
1379,Charging_Point_LVGrid_97733_public_15
1380,Charging_Point_LVGrid_97726_public_12
1381,Charging_Point_LVGrid_97726_public_13
1382,Charging_Point_LVGrid_97726_public_14
1383,Charging_Point_LVGrid_97726_public_15
1384,Charging_Point_LVGrid_97719_public_1
1385,Charging_Point_LVGrid_97719_public_2
1386,Charging_Point_LVGrid_97730_public_2
1387,Charging_Point_LVGrid_97725_public_10
1388,Charging_Point_LVGrid_97722_public_16
1389,Charging_Point_LVGrid_97717_public_3
1390,Charging_Point_LVGrid_97722_public_17
1391,Charging_Point_LVGrid_97723_public_9
1392,Charging_Point_LVGrid_97722_public_18
1393,Charging_Point_LVGrid_97723_public_10
1394,Charging_Point_LVGrid_97723_public_11
1395,Charging_Point_LVGrid_97723_public_12
1396,Charging_Point_LVGrid_97729_public_9
1397,Charging_Point_LVGrid_97717_public_4
